sacc_code,country,year,departures,display_country
7206,Kyrgyzstan,2005-06,10,Kyrgyzstan
7207,Tajikistan,2005-06,0,Tajikistan
7208,Turkmenistan,2005-06,0,Turkmenistan
7211,Uzbekistan,2005-06,20,Uzbekistan
8101,Bermuda,2005-06,10,Bermuda
8102,Canada,2005-06,2290,Canada
8104,USA,2005-06,7730,USA
8201,Argentina,2005-06,250,Argentina
8202,Bolivia,2005-06,30,Bolivia
8203,Brazil,2005-06,670,Brazil
8204,Chile,2005-06,400,Chile
8205,Colombia,2005-06,280,Colombia
8206,Ecuador,2005-06,50,Ecuador
8207,Falkland Is,2005-06,0,Falkland Is
8208,French Guiana,2005-06,0,French Guiana
8211,Guyana,2005-06,10,Guyana
8212,Paraguay,2005-06,10,Paraguay
8213,Peru,2005-06,130,Peru
8214,Suriname,2005-06,10,Suriname
8215,Uruguay,2005-06,110,Uruguay
8216,Venezuela,2005-06,70,Venezuela
8301,Belize,2005-06,0,Belize
8302,Costa Rica,2005-06,20,Costa Rica
8303,El Salvador,2005-06,80,El Salvador
8304,Guatemala,2005-06,0,Guatemala
8305,Honduras,2005-06,0,Honduras
8306,Mexico,2005-06,240,Mexico
8307,Nicaragua,2005-06,10,Nicaragua
8308,Panama,2005-06,10,Panama
8404,Bahamas,2005-06,10,Bahamas
8405,Barbados,2005-06,0,Barbados
8406,Cayman Islands,2005-06,0,Cayman Islands
8407,Cuba,2005-06,10,Cuba
8408,Dominica,2005-06,0,Dominica
8411,Dominican Rep,2005-06,10,Dominican Rep
8412,Grenada,2005-06,0,Grenada
8413,Guadeloupe,2005-06,0,Guadeloupe
8414,Haiti,2005-06,10,Haiti
8415,Jamaica,2005-06,20,Jamaica
8416,Martinique,2005-06,0,Martinique
8421,Puerto Rico,2005-06,10,Puerto Rico
8423,St Lucia,2005-06,0,St Lucia
8424,St Vinc/Grenad,2005-06,0,St Vinc/Grenad
8425,Trinidad/Tobago,2005-06,20,Trinidad/Tobago
8428,"Virgin Is, US",2005-06,0,"Virgin Is, US"
8434,Curacao,2005-06,0,Curacao
9101,Benin,2005-06,0,Benin
9103,Cameroon,2005-06,10,Cameroon
9104,Cabo Verde,2005-06,0,Cabo Verde
9107,"Congo, Rep",2005-06,10,"Congo, Rep"
9108,"Congo, Dem Rep",2005-06,10,"Congo, Dem Rep"
9111,Cote d'Ivoire,2005-06,10,Cote d'Ivoire
9113,Gabon,2005-06,0,Gabon
9114,Gambia,2005-06,0,Gambia
9115,Ghana,2005-06,60,Ghana
9116,Guinea,2005-06,0,Guinea
9118,Liberia,2005-06,10,Liberia
9121,Mali,2005-06,0,Mali
9123,Niger,2005-06,0,Niger
9124,Nigeria,2005-06,80,Nigeria
9126,Senegal,2005-06,20,Senegal
9127,Sierra Leone,2005-06,20,Sierra Leone
9128,Togo,2005-06,0,Togo
9201,Angola,2005-06,10,Angola
9202,Botswana,2005-06,200,Botswana
9203,Burundi,2005-06,0,Burundi
9205,Djibouti,2005-06,0,Djibouti
9206,Eritrea,2005-06,30,Eritrea
9207,Ethiopia,2005-06,70,Ethiopia
9208,Kenya,2005-06,330,Kenya
9211,Lesotho,2005-06,10,Lesotho
9212,Madagascar,2005-06,10,Madagascar
9213,Malawi,2005-06,30,Malawi
9214,Mauritius,2005-06,220,Mauritius
9216,Mozambique,2005-06,40,Mozambique
9217,Namibia,2005-06,20,Namibia
9218,Reunion,2005-06,10,Reunion
9221,Rwanda,2005-06,0,Rwanda
9223,Seychelles,2005-06,60,Seychelles
9224,Somalia,2005-06,120,Somalia
9225,South Africa,2005-06,1940,South Africa
9226,Eswatini,2005-06,10,Eswatini
9227,Tanzania,2005-06,70,Tanzania
9228,Uganda,2005-06,50,Uganda
9231,Zambia,2005-06,140,Zambia
9232,Zimbabwe,2005-06,360,Zimbabwe
1102,Norfolk Island,2006-07,10,Norfolk Island
1201,New Zealand,2006-07,14200,New Zealand
1301,New Caledonia,2006-07,100,New Caledonia
1302,PNG,2006-07,850,PNG
1303,Solomon Islands,2006-07,130,Solomon Islands
1304,Vanuatu,2006-07,70,Vanuatu
1401,Guam,2006-07,0,Guam
1402,Kiribati,2006-07,60,Kiribati
1403,Marshall Is,2006-07,10,Marshall Is
1404,"Micronesia, F S",2006-07,10,"Micronesia, F S"
1405,Nauru,2006-07,80,Nauru
1406,N Mariana Is,2006-07,0,N Mariana Is
1407,Palau,2006-07,0,Palau
1501,Cook Islands,2006-07,160,Cook Islands
1502,Fiji,2006-07,780,Fiji
1503,French Poly,2006-07,20,French Poly
1504,Niue,2006-07,20,Niue
1505,Samoa,2006-07,540,Samoa
1506,Samoa American,2006-07,20,Samoa American
1507,Tokelau,2006-07,30,Tokelau
1508,Tonga,2006-07,220,Tonga
1511,Tuvalu,2006-07,20,Tuvalu
1512,Wallis/Futuna,2006-07,0,Wallis/Futuna
1599,"Polynesia, nec",2006-07,0,"Polynesia, nec"
2100,"UK, CIs & IOM",2006-07,16930,UK
2201,Ireland,2006-07,2710,Ireland
2301,Austria,2006-07,320,Austria
2302,Belgium,2006-07,250,Belgium
2303,France,2006-07,1780,France
